TITLE,AUTHOR,PUBLICATION DATE,IDENTIFICATION NO,BOOK ITEM,SUBJECT CATEGORY
Sunlight on Broken Stones,Cirillio F. Bautista,1999,819/Lr398/1999,1,Literature and Rhetoric
Letters from Lolo Lola,Nina Lim-Yuson,1999,820/Lr399/1999,3,Literature and Rhetoric
Waray Literature,Gregorio C. Luangco,1982,821/Lr400/1982,6,Literature and Rhetoric
Las Trampas,J.M. Luz,1983,822/Lr401/1983,2,Literature and Rhetoric
Mga Kwento ng Mongheng B urmes,Maung Htin Aung,1984,823/Lr402/1984,5,Literature and Rhetoric
Jose Corazon de Jesus: Mga Piling Tula,Virgilio S. Almario,1984,824/Lr403/1984,1,Literature and Rhetoric
Maynila,E. Aguilar Cruz,1978,825/Lr404/1978,2,Literature and Rhetoric
Ulap sa Buhay ng Pamilya Nire,Ni Morio Kita,1993,826/Lr405/1993,3,Literature and Rhetoric
Filipinos Writing: Philippine Literature from,Bienvenido,2001,827/Lr406/2001,6,Literature and Rhetoric
Vibora!,F. Sionil Jose,2007,828/Lr407/2007,2,Literature and Rhetoric
The Guest of Honor,Irving Wallace,1989,829/Lr408/1989,5,Literature and Rhetoric
Literature is Life,Rustica C. Carpio,2003,830/Lr409/2003,4,Literature and Rhetoric
Sentimiento,Gemma Guerrero Cruz,1995,831/Lr410/1995,1,Literature and Rhetoric
Ben Singkol: A Novel,F. Sionil Jose,2001,832/Lr411/2001,2,Literature and Rhetoric
Poems,Modesta G. Boquiren,1998,833/Lr412/1998,5,Literature and Rhetoric
Ang Paghuhukom,Lualhati Bautista,1988,834/Lr413/1988,3,Literature and Rhetoric
With Hearts Aflame,Victor M. Ordoñez,2002,835/Lr414/2002,6,Literature and Rhetoric
View From the Middle,Asuncion David Maramba,1990,836/Lr415/1990,2,Literature and Rhetoric
Mostly in Monsoon Weather,Marne L. Kilates,2007,837/Lr416/2007,2,Literature and Rhetoric
Sherds,F. Sionil Jose,2007,838/Lr417/2007,4,Literature and Rhetoric
A Spiritual Pillow Book,Gilda Cordero Fernando,1998,839/Lr418/1998,5,Literature and Rhetoric
Letras Y Figuras,Jaime C. Laya,2001,840/Lr419/2001,2,Literature and Rhetoric
Sandatang Damit,Fanny A. Garcia,2007,841/Lr420/2007,3,Literature and Rhetoric
Jokes & Humor for Children,Thomas Philamer I. Andres,1990,842/Lr421/1990,6,Literature and Rhetoric
Three Filipino Women,F. Sional Jose,1999,843/Lr422/1999,2,Literature and Rhetoric
Literature of the Pampangos,Rosalina Icab Castro,1981,844/Lr423/1981,1,Literature and Rhetoric
Muling Lumipad ang Kalapating Puti,Khadijan Hashim,1989,845/Lr424/1989,5,Literature and Rhetoric
Early Philippine Literature,Asuncion David Maramba,2006,846/Lr425/2006,2,Literature and Rhetoric
Philippine Literature,Silverio Baltasar,1981,847/Lr426/1981,3,Literature and Rhetoric
Filipinos Writing: Philippine Literature from,Bienvenido Lumbera,2001,848/Lr427/2001,6,Literature and Rhetoric
Anthology of Asean Literatures,Subagio Sastro Wardoyo,1989,849/Lr428/1989,2,Literature and Rhetoric
Telic Contemplation,Alfreo G. Nudas S.J.,1979,850/Lr429/1979,5,Literature and Rhetoric
Literature in English from 1900,Gemino H. Abad,2002,851/Lr430/2002,2,Literature and Rhetoric
Epics of the Philipppines,Jovita Ventura Castro,1983,852/Lr431/1983,3,Literature and Rhetoric
The Pretenders,Francisco Sionil Jose,1980,853/Lr432/ 1980,2,Literature and Rhetoric
Tropical Temptations,Alfredo Kay,1999,854/Lr433/1999,1,Literature and Rhetoric
Ten Thousand Seeds,Linda Ty Casper,1987,855/Lr434/1987,2,Literature and Rhetoric
Ang Paghuhukom,Chart Kobjitti,1998,856/Lr435/1998,1,Literature and Rhetoric
Napili A Sarita Dagiti Hapones,"Juan S.P. Hidalgo, Jr.",1984,857/Lr436/1984,1,Literature and Rhetoric
Luzon and Mindanao,Duc P' Alencon,1986,901/Gh438/1986,2,Geography and History
Geographical Atlas of the World,William R. Wead,1996,902/Gh439/1996,5,Geography and History
Magsaysay of the Philippines,Carlos Quirino,1964,903/Gh440/1964,3,Geography and History
Sosyalismong Maka - Dhamma Sosayalismong,Bhikkhu Buddhadasa,1986,904/Gh441/1986,6,Geography and History
Inventors and Discoverers,National Geographic Society,1988,905/Gh442/1988,2,Geography and History
Great Women of Our Time,Irineo B. Angeles,1996,906/Gh443/1996,1,Geography and History
Manuel Sityar: Rebolusyong,Virgilio S. Almario,1998,907/Gh444/1998,2,Geography and History
Ang Nagtayo ng Modernong Hapon:,A.L. Sadler,1992,908/Gh445/1992,5,Geography and History
The Fight for Freedom,Antonio A. Nieva,1997,909/Gh446/1997,4,Geography and History
"Wika, Panitikan, Sining",Atoy Navarro,1998,910/Gh447/1998,2,Geography and History
THE Presidents of the Philippine,Eduardo Bananal,1986,911/Gh448/1986,1,Geography and History
Pagbabalik sa Bayan,Ferdinand C. Llanes,1993,912/Gh449/1993,2,Geography and History
Reinventing the Filipino,Arnold Molina Azurin,1993,913/Gh450/1993,3,Geography and History
Pasyon and Revolution,Reynaldo Clemeña Ileto,1997,914/Gh451/1997,9,Geography and History
"Paksa, Paraan at Pananaw sa Kasaysayan",Ma. Bernadette L. Abrera,1992,915/Gh452/1992,1,Geography and History
Understanding the Filipino,Tomas D. Andres,1987,916/Gh453/1987,3,Geography and History
Mga Gunita ng Himagsikan,Heneral Emilio Aguinaldo,1998,917/Gh454/1998,6,Geography and History
Lalawigang Quezon,Godofredo S. Laureles,1996,918/Gh455/1996,5,Geography and History
The Events of 1872,Manuel Artigas Y. Cuerva,1996,919/Gh456/1996,5,Geography and History
The Twisted Road to Freedom,keith Thor Carlson,1995,920/Gh457/1995,2,Geography and History
Blockade and Siege of Manila in 1898,Jose Roca de Togores y Saravia,2002,921/Gh458/2002,1,Geography and History
One Week in the Philippines,Andre' Bellessort,1987,922/Gh459/ 1987,1,Geography and History
The Progress of the Philippines,Gregorio Sanciano Y Goson,1975,923/Gh460/1975,1,Geography and History
Pre - Spanish Manila,Jesus T. Peralra,1993,924/Gh461/1993,2,Geography and History
Kasaysayng at Kamalayan,N.M.R. Santillan,1998,925/Gh462/1998,1,Geography and History
To Fight Without End,Raissa Espinosa Robles,1990,926/Gh463/1990,5,Geography and History
Vision & Conviction,Beulah D. Nuval,1997,927/Gh464/1997,3,Geography and History
"The Cambridge History of Southeast Asia: Volume One,",Nicholas Tarting,1999,928/Gh465/1999/V.4,2,Geography and History
"The Cambridge History of Southeast Asia: Volume One,",Nicholas Tarting,1999,929/Gh466/1999/V.3,6,Geography and History
The Combridge History of Southeast Asia: Volume,Nicholas Tarting,1999,930/Gh467/1999/V.4,8,Geography and History
Ang Bagong Lumipas - I,Renato Constatino,1997,931/Gh468/1997,9,Geography and History
Understanding Jose Rizal,Renato Perdon,2011,932/Gh469/2011,2,Geography and History
Carigara,Yen Makabenta,1995,933/Gh470/1995,4,Geography and History
Manila: Memories of World War II,Fernado J. MañAlac,1995,934/Gh471/1995,1,Geography and History
Nagcarlan - in Perspective,Ernesto L. De Paz,1999,935/Gh472/1999,1,Geography and History
History Today,Carmen Guerrero Nakpil,1996,936/Gh473/1996,2,Geography and History
Minutes of the Katipunan,National Historical Institute,1978,937/Gh474/1978,1,Geography and History
The Diary of a French Officer on the War in the,Lietenant X,1974,938/Gh475/1974,4,Geography and History
The Colonization of the Philippines and the Beginnings,Nicola Zafra,1993,939/Gh476/1993,2,Geography and History
Bagong Kasaysayan,Z.A. Salazar,1997,940/Gh477/1997,1,Geography and History
Himagsikang Pilipino,Z.A. Salazar,1996,941/Gh478/1996,1,Geography and History
Himagsikang 1896,Z.A. Salazar,1995,942/Gh479/1995,6,Geography and History
As I see It: Filipinos and the Philippines,Pura Santillan Castrence,2006,943/Gh480/2006,3,Geography and History
Mula sa Ibaba,Teresita Gimenez Maceda,1996,944/Gh481/1996,2,Geography and History
The Philippines and the Filipinos,Carmen Guerrero Nakpil,1977,945/Gh482/1977,1,Geography and History
An Acceptance Holocaust: Life and Death of a Boy - General,Teodoro M. Kalaw,2003,946/Gh483/2003,5,Geography and History
The Public's Servant,Didith Tan Rodrigo,2005,947/Gh484/2005,2,Geography and History
Batac,Ernesto Ma. Cadiz,2003,948/Gh485/2003,7,Geography and History
Bulakan ng mga Bayani,Jaime B. Veneracion,2007,949/Gh486/2007,5,Geography and History
Philippine Presidents,Rosario Mendoza Cortes,1999,945/Gh487/1999,8,Geography and History
Pantayong Pananaw: Ugat at Kabuluhan,Atoy Navarro,1998,946/Gh488/1998,9,Geography and History
Amang,Carlos Quirino,1983,947/Gh489/1983,6,Geography and History
Revolutionary Clergy,"John N. Schumacher, SJ",1981,948/Gh490/1981,3,Geography and History
Aide - De - Camp to Freedom,Maria Kalaw Katigbak,1965,949/Gh491/1965,2,Geography and History
The Philippines Reader,Daniel B. Schirmer,1987,950/Gh492/1987,1,Geography and History
The Cabildo Secular,Luis Merino,1980,951/Gh493/1980,1,Geography and History
The Erap Tragedy,Aprodicio A. Laquian,2002,952/Gh494/2002,1,Geography and History
Glances,Jesus T. Peralra,2000,953/Gh495/2000,2,Geography and History
Ladislao Diwa at ang Katipunan,Emmanuel Franco Calairo,1993,954/Gh496/1993,3,Geography and History
Panitikan ng Rebolusyong (G1896),Virgilio S. Almario,1993,955/Gh497/1993,2,Geography and History
Looking Back,Ambeth R. Ocampo,2010,956/Gh498/2010,5,Geography and History
French Consular Dispatches on the Philippine Revololution,Ma. Luisa T. Camagay,1997,957/Gh499/1997,3,Geography and History
The Political & Constitutional Ideas of the Philippine,Cesar Adib Majul,1997,958/Gh500/1997,1,Geography and History
Philippine History for Elementary School Zaide,Gregorio F. Zaide,1969,956/Gh501/1969,5,Geography and History
Sining ng Panahong Ginintuan,Ramon IV. Villegas,1999,957/Gh502/1999,4,Geography and History
The Philippines : History and Governement,Dr. Josefina Navarro,1985,958/Gh503/1985,3,Geography and History
Discovering Our Past A history of the World,Jackson J. Spielvogel,2014,959/Gh504/2014,6,Geography and History
Titanic,Wyn Craig Wade,1986,960/Gh505/1986,3,Geography and History
Christianity and Civilization,James A. Corbett,1947,961/Gh506/1947,2,Geography and History
World History,Gregorio F. Zaide,1994,962/Gh507/1994,2,Geography and History
Another Report About Magellan's Circumnavigation of the,Fernando Oliveira,2002,963/Gh508/2002,2,Geography and History
Journey to Majayjay,Paul P. de la Gironiece,1983,964/Gh509/1983,7,Geography and History
The Malayan Connection,Zeus A. Salazar,1998,965/Gh510/1998,5,Geography and History
"Jose Rizal: Life, Works and Writings of a Genius. Writer,",Gregorio F. Zaide,2014,966/Gh511/2014,3,Geography and History
